requested_file,resolved_path,bytes,sha256
h220e.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220e.dta,1451768,b72276b86e5dc4b538f97cc145af9e888f56ff2b6763073bf03183db13af6695
h220f.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220f.dta,6386652,b914b2f6e8a9985bd93c0bceb163683a3aa9a19858e3fa5d1cf937ec497ef410
h220g.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220g.dta,30264929,d033a5d4d20e62deb32b59f944546111461ba6e733d1b925b7e79788e3df9da0
h220if1.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220if1.dta,23962673,20185ff671d2f557c45a3d7b9d8cfcbe33811acc1201096c62a5044820582288
h222.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h222.dta,7037264,aba7462f2cb2640dad33795b386a2c14b586a0b4b1749767bc8325c685412119
h229a.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229a.dta,166869815,6727636bdf320674dd39ad39d5ed2b57d5e04dcc9b722c7d582d302598178dc0
h229d.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229d.dta,773974,ccaeacd2321704cde693afeaaf1df933a070bab07e3cc343b17c7c2dd6990c36
h229e.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229e.dta,1641091,07dee56fe8a10eee91da96aeeebf73775693aa3e27ff5a54ab43da8012bc451f
h229f.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229f.dta,8688756,664da26e13f3c32259c754fb77e018ddda73631687b765aa0cdbeb4ceacfb34e
h229g.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229g.dta,37440838,5e452dfe1468a7a9358081adb84323e6f48517260b4be9ce74c46861bb70232f
h229if1.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h229if1.dta,28048663,da17b87bd0c3bacf67793a22b70f0b427c887800f5f977ce79307f32fe7ef6bd
h231.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h231.dta,8810205,22c5cf92f96e6e30d058e75795483c3ee61e3ba1a42a9445f20167fcd782289a
h234.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h234.dta,31152491,3365e05eedb2d6e6b2863e5dcb78611947056ca536ea1e0e79e9c78b6aaebb44
h244.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h244.dta,34994211,5cf983c94fd9ed8d8377c9ad27bebd905c545327eca823a8c8412bf4e66eaa70
h36u23.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h36u23.dta,129325912,8d3d924ead91a1b52afa3c82c4694bf63d6133ecaec04df174358739ccaca52d
